ID,Bounding Box,Title
30997baf-cf33-4788-858b-17adbd746a52,"-88.64106459,45.98485537,-88.6349982,45.98569087","41N 35W - Survey Map of Stambaugh Township, Iron County [Michigan]"
9e95e6be-f6ac-488b-b691-7d64dd356fae,"-85.69159652,46.67898691,-85.64173758,46.68067173","50N 11W - Survey Map of McMillan Township, Luce County [Michigan]"
b485e47e-25f7-487c-9456-dfe75752b7cc,"-83.0599,42.36,-83.06,42.3601",[Detroit City Center plat map]
p16022coll246:150,"-179.5,-90,179.5,90","[Double cordiform map of the world, 1538]"
p16022coll230:4264,"74.91666667,8.033333333,160.2166667,12.5",[Map of southern India]
p16022coll230:4255,"73.4,13.36666667,162.1833333,17.08333333",[Map of the peninsula of India from the Krishnah River to Cape Comorin drawn chiefly from materials in the collection of Alexander Da'rymple esq.]
p16022coll230:897,"-180,-85,180,84.9833",[Mapa-mundi] : Juan de la Cosa la fizo en el puerto de S.M. en el anÌo de 1500
p16022coll230:656,"-180,-85,180,84.9833",[Outline map of the world] : route round the world flight
p16022coll246:348,"19.98,-47.21,-179.81,34.38",A chart of the Indian Ocean : improved from the chart of M. D'Apres De Mannevillette ; with the addition of a part of the Pacifi
p16022coll230:325,"-179.5,-90,179.5,90",A combined view of the principal mountains & rivers in the world : accompanied by a table shewing their relative heights & lengt
de8488f2-478e-40a9-854a-0393725fa5ab,"9.1333,-60.2333,-27.0667,78.2",A compleat chart of the coast of Asia and America with the great South Sea
92200365-e1d1-4db5-9e0e-0b99bf75e34b,"-83.7499,42.29,-83.74,42.2901","A map of Ann Arbor, Washtenaw County, State of Michigan."
p16022coll230:2756,"144.4,-14.75,-64.35,71.6","A map of South America, Central America and the West Indies, on Mercator's projection, having special reference to the principal forest regions and the chief timber trees"
fdc51c67-93f3-4682-aac9-fb21a76e6600,"-180,-85,180,85",A map of the discoveries made by the Russians on the North West Coast of America
48f0ad61-007c-493b-a641-98b68071856c,"3.75,42.75,5.75,45",A map of the state of Vermont
p16022coll246:224,"25,-12.93,-168.35,81.66","A new & accurate map of Asia : drawn from actual surveys, and otherwise collected from journals ; assisted by the most approved modern maps & charts. the whole being regulated by astron. observations"
p16022coll230:881,"-113.5667,6.4333,-112.6667,78.5833","A new and correct map of North America with the West India Islands : divided according to the last Treaty of Peace, concluded at Paris the 20th of Jan. 1783. wherein are particularly distinguished the thirteen provinces wich [sic] compose the United States of North America"
p16022coll230:537,"170,10,-10,80",A new map of North America agreeable to the latest discoveries
p16022coll205:486,"-71.97391,41.9483,-71.9739,41.94831",A plan of the north half of the township of Woodstock [Conn.]
72a691b8-689a-4997-8786-8cafca71142b,"73.3316,16.5598,73.3343,16.5625",A plan of the town & fortress of Gariah belonging to Angria the admiral to the Sahou Rajah on the coast of Mallabar.
p16022coll205:588,"-80.08331,42.1167,-80.0833,42.11671",A Plan of the town of Erie with the out lots
p16022coll205:511,"-79.81671,41.4,-79.8167,41.41",A Plan of the town of Franklin with the out lots
p16022coll205:569,"-79.151,41.8667,-79.15,41.86671",A Plan of the town of Warren with the out lots
97f8a640-82d4-0134-1f08-0050569601ca-2,"-180,-90,180,90","A topographical description of Virginia, Pennsylvania, Maryland, and North Carolina : comprehending the rivers Ohio, Kenhawa, Sioto, Cherokee, Wabash, Illinois, Mississippi, &c. the climate, soil and produce, whether animal, vegetable, or mineral ; the mountains, creeks, roads, distances, latitudes, &c. and of every part laid down in the annexed map / published by Thomas Hutchins, captain in the 60th regiment of foot ; with a plan of the rapids of the Ohio, a plan of the several villages in the Illinois country, a table of the distances between Fort Pitt and the mouth of the Ohio, all engraved upon copper ; and an appendix, containing Mr. Patrick Kennedy's Journal up the Illinois River, and a correct list of the different nations and tribes of Indians, with the number of fighting men, &c."
a197b2a0-994e-0134-2096-0050569601ca-5,"-180,-90,180,90","A topographical description of Virginia, Pennsylvania, Maryland, and North Carolina : comprehending the rivers Ohio, Kenhawa, Sioto, Cherokee, Wabash, Illinois, Mississippi, &c. the climate, soil and produce, whether animal, vegetable, or mineral ; the mountains, creeks, roads, distances, latitudes, &c. and of every part laid down in the annexed map / published by Thomas Hutchins, captain in the 60th regiment of foot ; with a plan of the rapids of the Ohio, a plan of the several villages in the Illinois country, a table of the distances between Fort Pitt and the mouth of the Ohio, all engraved upon copper ; and an appendix, containing Mr. Patrick Kennedy's Journal up the Illinois River, and a correct list of the different nations and tribes of Indians, with the number of fighting men, &c."
p16022coll246:321,"25,-20,-169.31,79.98","Accuratissima totius Asiae tabula : in omnes partes divisa, de nova correcta, ac in lucem edita"
p16022coll230:4241,"27.5,-26.5,56,-26","Africa 1:125,000 : Transvaal"
p16022coll230:4246,"27,-26.5,54.5,-26","Africa 1:125,000 : Transvaal"
201ca22f-1eb4-4a78-a9bf-b143146f1369,"172.43,-58.48,-8.929,83.82",AmÃ©rique du Nord ; AmÃ©rique du Sud
b7c7292c-9386-4101-b1b7-d31ca9473cdf,"136.8,-59.27,-26.879,46.87",America
p16022coll230:1287,"144.4,-14.75,-64.35,71.6",An improved map of the United States
ANT-SUM-OP3801-001,"41,-38,145,-37.9",Antarctic Exploration and Claims: As of 1 February 1956: Antarctica
ANT-REF-MP2015-001,"42,-55,-128,-54.9",Antarctica
b2afdb03-5102-4f78-bf42-6a552d6db716," -4.77,43.03,8.21,50.92","Artesia comitatus, Artois"
p16022coll246:125,"25,-12.93,-168.35,81.66","Asia : concinnata secundum observationes Academiae Regalis Scientiarum et nonnullas alias, et juxta annotationes recentissimas"
p16022coll246:179,"11.0742,-16.8887,-159.4336,81.5442","Asia : ex magna Orbis terre descriptione Gerardi Mercatoris desumpta, studio & industria G.M. Iunioris."
p16022coll246:223,"25,-12.93,-168.35,81.66","Asia concinnata secundum observationes Academiae Regalis Scientiarum et nonnullas alias, et juxta annotationes recentissimas"
p16022coll230:3587,"32.8833,-11.9833,-167.7667,78.4833",Asiae in Tabula Geographica Delineatio : admentem Novissimorum eorumque optimorum Geographorum emendata...
p16022coll246:177,"35.332,-6.1406,-170.8594,81.1745",Asiae nova descriptio
p16022coll229:2295,"19.08,59.45,31.59,70.09","Atlas Ã¶ver Finland 1925, Text"
p16022coll229:423,"-180,-90,180,90","Atlas des commenÃ§ans : admis par la Commission d'instruction publique, pour l'enseignement de la cosmographie et de la gÃ©ographie dans les lycÃ©es et les Ã©coles secondaires"
p16022coll229:460,"-180,-90,180,90","Atlas of commercial geography illustrating the general facts of physical, economic and statistical geography, on which international commerce depends"
p16022coll229:276,"-180,-90,180,90",Atlas of meteorology.
p16022coll229:302,"-180,-90,180,90",Atlas zur kirchengeschichte.
p16022coll205:247,"149.561,33.41,149.56,33.411","Bathurst, 1877"
b65f2cfa-bb36-4000-abc1-9b4707180c82,"-79.9699,32.8,-79.97,32.8001","Bird's eye view of Charleston, South Carolina, and its environs, showing the scene of General Gilmore's [sic] operations."
58acc3a8-a0b4-4dbc-8682-589a832aa466,"-86.4499,43.95,-86.45,43.9501","Bird's eye view of Ludington: C. S. of Mason, Co. Mich. 1880."
83bc9f5a-f215-458d-b19b-bfe6a2ec98b6,"-76.9299,38.19,-76.93,38.1901","Birthplace of Washington United States Coast and Geodetic Survey; from a survey by A. Lindenkohl, 1879."
p16022coll230:2334,"-115.62,44.09416667,-115.6172222,44.09694444","Boise National Forest, Idaho : 1917"
02a14989-f313-4b3d-8ced-ba74c9bf545b,"3.25099926441,46.5371557989,3.2509992644,46.53715579891",Bourbonnois
d5221d78-e27c-4344-80f8-06ae77eca3cf,"-180,-80,180,83.93",Bowles's new four-sheet map of the world on Mercator's projection
506b2c60-f32a-476b-9261-3bd13544e8b2,"167.88,37.65,-12.619,80",British North America
4f0b7393-6b8c-4fd4-ae52-75014f79a270,"-135.57,34.88,135.67,34.98",BunkyÅ« kaikoku hanÊ¼ei KyÅto onÊ¼ezu zusho narabini kÅtei Yomo Shunsui.
p16022coll230:876,"-179.9,-85.0,180.0,85.0",Carta universal en que se contierne todo lo que del mundo se ha descubierto fasta agora hizola Diego Ribero cosmographo de Su magestad. AnÌo de 1529 eÌ Sevilla
p16022coll230:4272,"99.73333333,-55.31666667,-66.35,23.55","Carte d'une partie de La Mer du Sud : contenant les decouvertes des vaisseaux de sa majeste Le Dauphin, Commodore Byron, la Tamar, Capitne. Mouats, 1765. Le Dauphin, Capitne. Wallis, Le Swallow, Capitne. Carteret 1767 et l'Endeavour Lieutenant Cook 1769"
p16022coll246:185,"25,-12.93,-168.35,81.66","Carte de l'Asie : dresseaÌ pour l'usage du Roy, sur les memoires envoyeaÌz par le Czar aeÌ l'Academie Royale des Sciences, sur ce queles Arabes nous ont laisseaÌ deplus exact des pays orientaux, sur un grand nombre de routiers de terre et de mer, et de car..."
p16022coll230:475,"-61.011,14.63,-61.01,14.631","Carte de l'Isle de la Martinique, Colonie FrancÌ§oise dans les Isles Antilles"
p16022coll230:3692,"19.4,-4.4667,-164.3667,82.05",Carte de Tartarie : dresseÌe sur les relations de plusieurs voyageurs de differentes nations et sur quelques observations qui ont eÌteÌ faites dans ce paiÌs la
8233ab1d-243f-4b51-a3ea-9ea1825196cf,"143.7833,-13.75,-160.65,3.6833","Carte des archipels des Iles Salomon, de la Louisiade et de la NouvlÌÃª. Bretagne. : situÃ©s Ã  l'est de la Nouvelle GuinÃ©e"
p16022coll230:3762,"179.8,0.75,-42.35,75.85",Carte des nouvelles deÌcouvertes
46dd5206-de93-4581-92d9-14a5925b91d3,"4.041119,49.324898,4.098831,49.383787",Carte du paÃ¯s et duchÃ© de Nivernois
p16022coll230:567,"150,40,-6,83",Carte geÌneÌrale des deÌcouvertes de l'amiral De Fonte repreÌsentant la grande probabiliteÌ d'un passage au nord ouest
p16022coll230:478,"130,30.35,-10,85","Carte geÌneÌrale des deÌcouvertes de l'Amiral de Fonte, et autres navigateurs espagnols, anglois et russes pour la recherche du passage aÌ la mer du sud"
p16022coll230:3757,"29.01,26.0,29.0,27.0",Carte hydrographique de la partie septentrionale de la Haute eÌgypte : ou sont indiqueÌ les travaux d'arrosage exeÌcuteÌs et aÌ exeÌcuter d'preÌs les orderes de Son Altesse MeÌheÌmet-Ali Vice-Roi d'eÌgypte
6ef3aef4-06a4-4ef4-a024-7ff608e9db1e,"134.4,-57.8,-60.4,29.7",Carte reduite de la Mer du Sud.
f3709207-62fe-4508-8036-17812b57764a,"116.6,-58.2,-63.5,41.3","Carte reduite des mers comprises entre l'Asie et l'Amerique. : apelÃ©es par les navigateurs Mer du Sud ou Mer Pacifique : pour servir aux vaisseaux du Roi, dressÃ©e aux dÃ©post des cartes, plans et journaux de la marine : par ordre de M. le Comte de Maurepas."
p16022coll230:2305,"-114.9002778,44.49861111,-114.8975,44.50138889","Challis National Forest, Idaho : 1917"
4c1e59d2-9ac4-4534-b800-4624cc4f5d67,"152.27,49.75,-137.319,72.55","Chart of the N. W. Coast of America and the N. E. Coast of Asia, explored in the years 1778 and 1779"
p16022coll230:4079,"-180,-85,180,84.98333333",Chart of the world
p16022coll230:636,"-180,-85,180,84.9833",Chart of the world on Mercator's projection
p16022coll230:573,"100.1,-69,100,80",Chart of the world showing distances saved by the interoceanic canal of Nicaragua and Costa Rica
p16022coll230:770,"144.4,-14.75,-64.35,71.6","Charte von America : nach astronomischen Bestimmungen, den neuesten Nachrichten und Charten"
989c718f-f085-48bd-8fcb-ea94c3e520ae,"-87.8299,41.88,-87.83,41.8801","Chicago harbor & bar, Illinois from survey made between March 29th & April 9th 1856 under the direction of Brevet Lieut. Col. J.D. Graham, Major U.S. Top. Engineers. Superintending Engineer of Lake Michigan Works."
c43b3e4f-a2d4-4aec-90b1-3cbedd6772d4,"-87.8299,41.88,-87.83,41.8801","Chicago harbor & bar, Illinois from survey made between the 17th of August & the 2nd of September 1858 under the direction of Brevet Lieut. Col. J.D. Graham, Major U.S. Top. Engineers. Superintending Engineer of Lake Harbor Works."
cf0aad24-c644-4334-bbfa-e8797a35438d,"-87.8299,41.88,-87.83,41.8801","Chicago harbor & bar, Illinois from survey made in April 1857 under the direction of Brevet Lieut. Col. J.D. Graham, Major U.S. Top. Engineers. Superintending Engineer of Lake Harbor Works."
c0b81609-f233-4004-a5de-6e86ebdace1e,"-83.7499,42.28,-83.75,42.2801","City of Ann Arbor, Washtenaw Coty. Michigan; surveyed & published by S. Pettibone.; City of Ann Arbor, Washtenaw County Michigan"
fb5f7239-e47d-496c-812a-0ba41a1600f4,"-83.6199,42.23,-83.62,42.2301","City of Ypsilanti, Washtenaw County, Michigan; surveyed & drawn by C. S. Woodard."
ANT-REF-GT2501-001,"0,-78,-130,0",Coastal-Change and Glaciological Map of the Bakutis Coast: Antarctica
ANT-REF-GT2501-004,"0,-84,-90,0",Coastal-Change and Glaciological Map of the Ronne Ice Shelf Area: Antarctica
p16022coll230:4057,"-180,-85,180,85",Comparative size of lakes and islands
p16022coll230:4186,"32.26666667,34.61666667,68.6,35.7",Cyprus
p16022coll245:1060,"-93.26361,44.98,-93.2636,44.981","Davison's atlas map of Minneapolis, Hennepin Co., Minn., 1888"
368d4a86-dc77-44ee-b0e4-4e45d66a58e1,"122.71,20.21,154.21,45.71",DÅban Kinai shÅran furoku Nan'yÅ yonshÅ« shÅranzu : AshÅ« yori DoshÅ« ni itaru subete yonshu / SeisendÅ RyÅkuzan sakuzu narabini dÅsen. (é
UNL~30~30~232~14331,"-180,-90,180,90",Degrees of Geographical Latitude
5fcb3f01-2d9b-40ea-9306-fdf9e1953f4c,"-172.08,49.45,-172.00,81.25",Deliniatio cartae trium navigationum per Batavos auctore Wilhelmo Bernardo; Cornelius Nicolai excudebat; Baptista a Doetechum sculp. Ao. 1598.
3930cda7-5749-4266-ba3f-df84e494116a,"6.51269316671,43.8471693132,6.5126931667,43.84716931321",Description du Blaisois
p16022coll230:741,"-95.20171,47.1975,-95.2017,47.19751","Detailed hydrographic and topographic chart of the Itasca State Park : at the source of the Mississippi River, state of Minnesota, U.S.A. : prepared under authority of an act of the legislature, approved April 20th, 1891"
7d2906c2-4825-4ada-81e7-28ae4046554f,"-180,-90,180,90",Die Amerikanische Nordpolar-Expedition unter KapitÃ¤n C.F. Hall 1871/72
p16022coll230:1004,"-179.9,-85.0,180.0,85.0",Die erst general Tafel die Beschreibung und den Circkel des gantzen Erdtrichs und Meers innhaltende
e5939a35-6819-4b57-a72a-8d126f7a6d87,"2.7917,47.5628,6.4392,50.0935",Diocese de Rheins et le pais de Rethelpar Jean Jubrien
c30393ba-a2de-4deb-9371-3bdb04413a89,"13.75,51.05,13.7499,51.06","Dresden Drawn by W. B. Clarke, Archt., engraved by W. Henshall. Published under the superintendence of the Society for the Diffusion of Useful Knowledge."
pstems_0052767067_dubois_03_lk,"-80.5211,39.7198,-74.6897,42.5147",DuBois-03-LK; DuBois- 3; Lower Kittanning
db6670e0-477a-4a6a-9243-f7c95f6b127c,"-87.6058,41.7797,-87.5861,41.7808",East 63rd Street : Cottage Grove Ave. to Stony Island Ave.
p16022coll230:3666,"90.0,46.0,-150.0,71.0",Eastern Siberia
05d-p16022coll289,"-180,-90,180,90",Ecological Study for the Twin Cities Metropolitan Area
54d83a56-4c40-411e-bf44-fd84781223f0,"-87.8299,41.88,-87.83,41.8801","Entrance to Chicago harbor showing the state of the bar April 4th, 1854 before the dredging of the direct ship channel was commenced."
p16022coll230:3699,"16.3667,-9.7167,-169.15,81.2167","Etats du grand-seigneur en Asie, empire de Perse, pays des Usbec, Arabie et Egypte"
p16022coll246:450,"78.61194444,23.72388889,156.7861111,23.81638889",Extract from an unfinished map of Saugor & Nurbudda States : Scale 8 miles = 1 inch
p16022coll230:1262,"144.4,-14.75,-64.35,71.6","Fifty thousand miles of national highways proposed by the National Highways Association, Washington, D.C : with the alignment of the Lincoln Highway (tentative location - subject to revision) showing every city, town, village, and hamlet throughout its entire length"
6daaafcc-dca3-4e1d-b1e3-bda4c6ffffd8,"-76.6299,39.3,-76.63,39.3001","Flamm's new map of Baltimore, 1894"
f2869e6c-68bc-4554-89e9-fbe774a6ab3f,"-79.8756,32.7514,-79.8739,32.7533","Fort Sumter, South Carolina at the time of its capture, February 18th, 1865 : showing the effects of the bombardment from Morris Island"
04351e47-6b75-4bd5-92e9-4a1ce5c31702,"132.83,36.33,136.92,36.58",Fukui-ken zenzu kan; Iwasa Shizuo.
ark-85335-m59p2xj2p,"-85.473604,45.777728,-85.473393,45.778969","Garden Island/Evangeline, Township 39 & 40N/33N Range 9 & 10W/6W: Charlevoix County, Michigan"
6f8e6aa6-36b4-4a7a-82b7-e1f82da4853c,"1.8577,45.215,4.066,46.4701",Gastinois et Senonois
t137r49w5fi01,"-96.8014301,46.66697025,-96.80024567,46.66843954","General Land Office Township Plat - Independent Plats: Minnesota (T137N R49W), 1859"
t032r27w4fi01,"-93.75778965,45.29576516,-93.63404207,45.30023316","General Land Office Township Plat - Original Survey: Minnesota (T032N R27W), 1851"
t122r48w5fi01,"-96.66777846,45.41158437,-96.61611572,45.41404478","General Land Office Township Plat - Original Survey: Minnesota (T122N R48W), 1870"
t133r48w5fi01,"-96.65617856,46.36590503,-96.65444665,46.36961858","General Land Office Township Plat - Original Survey: Minnesota (T133N R48W), 1858"
t138r49w5fi01,"-96.8016382,46.79632889,-96.7993146,46.79822399","General Land Office Township Plat - Original Survey: Minnesota (T138N R49W), 1859"
t161r30w5fi01,"-94.5597034,48.71427979,-94.55390801,48.71466728","General Land Office Township Plat - Original Survey: Minnesota (T161N R30W), 1899"
BHCJ2M66OKE2Z8Z,"-87.8747,45.3662,-87.8698,45.3666","General Land Office Township Plat - Original Survey: Wisconsin T34N, R21E"
JSQNB3KTYBTLP8B,"-87.8747,45.3662,-87.8698,45.3666","General Land Office Township Plat - Original Survey: Wisconsin T34N, R21E"
SOW6SDHGPMM2S8B,"-87.8143,45.7102,-87.8092,45.7119","General Land Office Township Plat - Original Survey: Wisconsin T38N, R22E"
p16022coll230:3505,"-180,-90,180,90",General-karte der russischen Ost-See-Provinzen Liv : Ehst- und Kurland nach den vollstaÌndigsten astronomisch-trigonometrischen Ortsbestimmungen u. den speciellen Landesvermessungen auf Grundlage der Specialkarten
p16022coll229:877,"-179.9,-85.0,180.0,85.0",Geography of the world's agriculture.
VAC3073-M-00678,"-87.6001,38.61,-85.3301,38.73",Geologic and topographic section across southern Indiana: from Hanover to Vincennes embracing township three north
p16022coll230:715,"-95.5833,49.2,-84,49.8667",Geological and topographical map of the northern part of the Lake of the Woods and adjacent country
a0fedd25-debf-4552-9d80-af4717db7c59,"-95.58,49.2,-84,49.87",Geological and topographical map of the northern part of the Lake of the Woods and adjacent country; by A.C. Lawson; compiled and drawn by A.E. Barlow.
45d6d2b1-3e4d-476f-875e-40788bfe4449,"86.254797,43.053047,-86.196947,43.075496","Grand River Harbor, including part of the town of Grand Haven, Michigan from survey made in October 1856 by assistant John R. Mayer under the direction of Brevet Lieut. Col. J.D. Graham, Major U.S. Top. Engineers. Superintending Engineer of Lake Michigan Works."
UNL~30~30~128~14339,"-180,-90,180,90","Great Circle, Mercator's Projection"
p16022coll205:366,"-92.851,44.7301,-92.85,44.73011","Hastings, M.T."
542c17e7-1575-4240-8765-d808310bdb88,"134.67,33.42,-136.669,35.75",HÅgaku kaisei gokinai shÅran
UNL~30~30~156~14486,"-180,-90,180,90","Hourly Progress of the Tidal Wave, August 14"
fd61fd87-7c0c-40fb-b0df-ddf4def34b4d,"-180,-90,180,90",Hydrological basin of the Upper Mississippi River
p16022coll230:4125,"60,32,128,36",India and adjacent countries
p16022coll230:4138,"64,28,136,32",India and adjacent countries
p16022coll230:3600,"68.1,-20.3833,-140.9833,63.0667",Indiae orientalis insvlarvmqve adiacientivm typvs
VAC9619-000854,"-180,-90,180,90",K-52-31 Ð¡Ñ. Ð§Ð°ÑÑÐ¾Ð³Ð¾Ñ
VAC9619-000899,"-180,-90,180,90",K-52-52
67952e6c-0569-4791-b0e9-b115808a1f7d,"-179.9,-85.0,180.0,85.0",Kaart von circa 1590 cf. pag. 418 Abr. ortelii epistulae
b5fa675c-de9f-44e5-8dc7-fdd28ed0605a,"139.066,35.4745,139.4585,35.6729",Kaisei dÅsen Dai Nihon yochi zenzu
p16022coll230:4273,"-180,-90,180,90","Karte des Schlaraffenlandes : Accurata Utopiae tabula, das ist der Neu-Entdecken Schalck-Welt, oder des so offt benannten, und doch nie erkannten, Schlaraffenlandes"
p16022coll205:1142,"79.82222222,6.8625,158.89,6.981111111",Karte von der DessawanayÌ Colombo
7d6bfdf7-6851-4c99-83d9-f00d24ee7616,"139.066,35.4745,139.4585,35.6729",Kawachi saiken zu (æ²³å
5dc44634-2427-41f0-9f11-7f31e6b3eb14,"122.71,20.21,154.21,45.71",Kazusa no Kuni yochi zenzu (ä¸ç¸½åè¼¿å°å
ANT-NAV-MT0501-013,"25.533,-62.3583,57.866,-60.7375",King George Island to Clarence Island: Antarctica
GRL-REF-MT0504-007,"0,0,-26,72",Kong Oscars Fjord: Greenland
68c0a0be-6821-4478-9654-c0fc4a5f3a25,"122.71,20.21,154.21,45.71",Kosui ura meguri meisho jisha benran zuseki (æ¹æ°´æµ¦å»»ãåæå¯ºç¤¾ä¾¿è¦§åè·¡)
p16022coll246:113,"25,-10,-165,78",L'Asia divisa ne' suoi principali stati di nuova projezione.
p16022coll246:266,"24.65,-12.93,-168.35,78.2",L'Asie :
p16022coll246:394,"25.01,-9.8,-168.66,77.05",L'Asie diviseaÌe en ses principaux Empires et Royaumes
e2bba847-0157-4f61-a246-d3ca62119df0,"-177.8833,-84.6333,-178.2333,0.5167",L'Hemisphere meridional pour voir plus distinctement les terres Australes
VAC9619-002002,"37.51,47.3333,37.5,47.6667","L-37-16 ÐÐ»Ð°ÑÐ¾Ð½Ð¾Ð²ÐºÐ° (Platonovka, Ukraine)"
p16022coll230:1299,"144.4,-14.75,-64.35,71.6","Landing facilities and proposed airway system in the United States, 1924"
p16022coll246:209,"23.5,-50,-179.65,42.5","Laurie and Whittle's new chart of the Indian and Pacific Oceans between the Cape of Good Hope, New Holland and Japan :"
p16022coll230:3459,"0.8167,36.3,-169.4667,85.0167","Le nord de l'Europe : contenant Le Danemark, La Norwege, La Suede et La Laponie avec la majeure partie de la Russie EuropeÌene"
e086daee-8784-478c-9ca3-4ee59e8bd320,"-179.95,-72.83,-178.2,83.47",Les Tables de Geographie reduites en un Iev de Cartes
UNL~30~30~244~14468,"-180,-90,180,90",Levels affected by Rotation
bee8fbe3-e3d9-4f5a-8539-fbb2fa824a80,"3.0801,50.65,3.08,50.6501",Lille.
0d8f60d0-1183-40ff-89df-2a997236fd81,"0.49490779641,45.2446970208,0.4949077964,45.24469702081",Lorraine
42835e41-55c1-4ef0-afe4-a577725e1f0a,"0.49490779641,45.2446970208,0.4949077964,45.24469702081",Lotharingia septentrionalis Loraine
VAC9619-003116,"-180,-90,180,90","M-35-39 ÐÑÑÐº (Lutsk, Ukraine)"
VAC9619-003401,"-180,-90,180,90","M-37-113 ÐÐ¸ÑÐ¸ÑÐ°Ð½ÑÐº (Lisichansk, Ukraine)"
b10de73a-238b-4f07-9769-10090a5c5724,"-87.6599,44.09,-87.66,44.0901","Manitowoc harbor, Wisconsin from survey made betweenteh 14th & 19th of August 1856 by assistant John O'Donoghue, under the direction of Brevet Lieut. Col. J.D. Graham, Major, U.S. Top. Engineers. Superintending Engineer of Lake Michigan Works."
ANT-NAV-OT2017-004,"75.9638,-83.6771,-144.4623,-83.4046",Map 14: South Pole (Edition 1): Antarctica
ANT-NAV-OT2017-010,"75.9638,-83.6771,-144.4623,-83.4046",Map 14: South Pole (Edition 2): Antarctica
