ID,Bounding Box,Title
ANT-NAV-OT2017-005,"131.1859,-81.8544,-162.646,-77.1856",Map 15: Ross Ice Shelf (Edition 1): Antarctica
ANT-NAV-OT2017-011,"131.1859,-81.8544,-162.646,-77.1856",Map 15: Ross Ice Shelf (Edition 2): Antarctica
p16022coll205:433,"-94.46671,44.3167,-94.4667,44.31671","Map city New Ulm, Brown County Minnesota"
feca7f43-6d13-4f9e-a08b-f4975053877f,"-83.75,42.28,-83.749,42.281",Map of Ann Arbor showing campus and buildings of the University of Michigan [map]. / prepared by Wickes Brothers.
p16022coll205:514,"-71.06111,42.3583,-71.0611,42.35831",Map of Boston
ab98bb71-2695-41a1-893b-f681881f0cda,"-83.7399,42.28,-83.74,42.2801",Map of Campus Flower Garden: M. Blanchard.
p16022coll230:1197,"144.4,-14.75,-64.35,71.6",Map of Cook's Tours in America
a6840b20-6c0b-4551-856e-a9d05e742527,"50.4136,28.6448,-36.0373,72.7715","Map of Europe - Climate Zones, August, 1943"
9205cee8-41ac-4b2c-82e2-c62f839455b3,"50.416,28.6521,-37.8046,84.0132","Map of Europe - Climate Zones, December, 1943"
0b70c75d-2c37-417e-9a7c-0bf5ccb506d9,"50.3839,28.6646,-42.317,80.78","Map of Europe - Climate Zones, February, 1943"
4f9309e6-7af6-4a67-a98a-2b218faac41d,"50.4199,28.6438,-45.4582,77.3223","Map of Europe - Climate Zones, June, 1943"
93695714-dd62-49cd-a1cb-d2753979d145,"50.4169,28.6446,-47.9399,77.5754","Map of Europe - Climate Zones, March, 1943"
ce23211d-0038-424f-a06c-61b2bd05e834,"50.4024,28.6636,-41.927,81.1072","Map of Europe - Climate Zones, May, 1943"
ccbe68bb-6e01-4c66-a7a2-19456e7198eb,"50.4208,28.6503,-51.2813,81.2917","Map of Europe - Climate Zones, November, 1943"
9bdda2b4-8398-4273-815a-9c5312656068,"50.3986,28.6601,-51.75,81.0449","Map of Europe - Climate Zones, September, 1943"
72626d64-d796-4acf-a757-20965e078e0f,"50.4106,28.6448,-47.1008,76.5519","Map of Finland - XXXV 12, 1922"
210d879c-3739-40e6-b7d3-f09aca38f4fa,"0.2534,46.6006,-0.6104,46.9426","Map of France - Geological Map - Pontparlier, 1887"
d6c5a303-857c-49c6-bc28-a271788e8b4e,"5.7338,48.4307,5.7328,48.4497","Map of France - Mirecourt, 1910"
259122db-ef8b-4831-a989-bb3d823398b0,"0.2802,45.8817,-0.5719,46.2235","Map of Gambia - Bathurst (Banjul) (city map), 1919"
ef245d72-6d37-4b51-ac1e-5adfd226f612,"0.519,52.7897,-0.1092,53.069","Map of Great Britain - Fakenham, 1921"
135e7926-330d-489d-8c15-9f30a16a8ec7,"-84.3499,41.83,-84.35,41.8501",Map of Hudson: compiled expressly for the Lenawee Co. atlas.
p16022coll246:453,"73.75,32.28333333,158.3,35.5","Map of Kashmir with part of adjacent mountains : Surveyed on the basis of the Great Trigonometrical Survey of India, under the instructions of Lieutt. Colonel A.S. Waugh, engineers. F.R.S. F.R.G.S., 1st assistant G.T. Survey of India and The Assistants under his orders during 1855, 56 & 57. Scale of miles half an inch to one mile"
cab7f0c9-28b7-4e9e-8153-a65ec7e8d7c5,"170.6,5.5,-8.3,84",Map of North America
p16022coll230:629,"172,5,-15,84",Map of North America
p16022coll230:427,"180,65,-180,90",Map of the Arctic regions
b41b54f5-db78-4501-b373-e9b451468841,"-84.3499,46.5,-84.35,46.5001","Map of the canal at the Saut Ste. Mary from a survey by Captain Canfield and Judge Burt; John Holcroft, assistant; drawn by John Holcroft."
f4f9b38a-b754-4006-9ca6-35607bbc4d37,"73.98,40.78,73.96,40.81",Map of the Central Park.
35998189-3420-4d85-bcd4-d97530f2110d,"-73.9999,40.7,-74,40.7001",Map of the city of New York showing the sewers & drains.
p16022coll205:489,"-71.51531,-42.0028,-71.5153,42.00281","Map of the city of Woonsocket, Providence County, Rhode Island"
p16022coll230:1328,"-80.16666667,41.66666667,146.3333333,45",Map of the State of New York
p16022coll230:692,"144.4,-14.75,-64.35,71.6","Map of the United States and territories, with adjacent parts of Canada and Mexico, also part of the West India Islands, showing the extent of public surveys, Indian and military reservations, rail roads, canals and other details"
p16022coll230:4121,"144.4,-14.75,-64.35,71.6",Map of the United States of North America : for Volney's View of the climate & soil of the United States
p16022coll230:1321,"71.83333333,44.06666667,142.1,44.5","Map of the White Mountains, New Hampshire : from original surveys"
872b48af-20af-4db5-9b50-454ca81d82b8,"-83.6199,42.23,-83.62,42.2301","Map of Ypsilanti, Mich.; drawn from actual surveys & official records by C. S. Woodard."
p16022coll230:684,"19.4,41.1833,-168.9667,82.05","Map showing the route of the ""Fram"" and Nansen's and Johansen's sledge journey"
p16022coll230:2824,"-79.5668,-7.4001,-79.5667,-7.4",Mapa de la provincia de Pacasmayo
ee57cf6c-37be-4c6a-ba1e-4b7dc9b9b856,"-179.87,-79.68,179.53,85","Mappe-monde: dressÃ©e sur les observations de Mrs. de l'Academie Royale des Sciences et quelques autres et sur les memoires les plus recens. A son altesse royale Monseigneur Le Duc de Chartes; par ...G. de L'Isle, Geographe; gravÃ© par Berey."
a2b41450-994e-0134-2096-0050569601ca-2,"-179.9,-85.0,180.0,85.0","Mappemonde, ou, Description du globe terrestre [cartographic material] : dres??e fur les memoires les plus nouveaux, et assujettie aux observations astronomiques / par Robert de Vaugondy, fils."
46699589-597a-4394-aa15-3d70e6ecfd66,"-86.7101,39.2801,-86.71,39.28011",McCormick's Creek State Park
p16022coll205:642,"-95.92971,41.2619,-95.9297,41.26191","Megeath Stationery Co's Trans-Mississippi and International Exposition guide map of Omaha, May 1st 1898"
UNL~30~30~344~14274,"-180,-90,180,90","Meteor Paths Nov 15, 1898, Over Nebraska and Iowa"
p16022coll230:1273,"144.4,-14.75,-64.35,71.6","Mitchell's travellers guide through the United States : a map of the roads, distances, steam boat & canal routes & c"
e18e3e44-8de7-486e-b4ba-5e7fa0d48a39,"-84.2199,41.72,-84.22,41.7201",Morenci: compiled & drawn expressly for the Lenawee County atlas.
ANT-REF-MT2502-026,"163,-76.45,162,-76.44",Mount Endeavour: Antarctica
e933965f-ccc9-48ff-a063-30c32ae928aa,"-86.1999,42.66,-86.2,42.6601","Mouth of Kalamazoo River, Michigan from survey made between the 2d & 10th September 1856 by assistant John R. Mayer, under the direction of Brevet Lieut. Col. J.D. Graham, Major, U.S. Top. Engineers. Superintending Engineer of Lake Michigan Works."
6b9ae777-880f-443c-84fe-e72d6e1e7ffb,"139.7801,35.67,139.78,35.6801",Musashi Toshima-kÅri Sakuda-ryÅ Edo Momiji-gawa Yoroinowatashi koseki kÅ; Eisen Ikeda Gishin utsusu.; Momiji-gawa Yoroinowatashi koseki kÅ;Momiji-yoroi koseki kÅ: zen
VAC9619-000316,"-180,-90,180,90","N-34-138-Ð ÐÑÐ¾Ð´Ð·Ð¸ÑÐº (Grodzisk Mazowiecki, Poland)"
VAC9619-000325,"-180,-90,180,90","N-34-139-Ð ÐÐ°ÑÑÐ°Ð²Ð° (Warszawa, Poland)"
VAC9619-000366,"21.5,53.5,31.25,53.6667","N-34-91-Ð ÐÑÐ¿Ð¿ÐµÐ½ (Spychowo, Poland)"
VAC9619-001378,"52.25,54.1667,32,54.3333","N-36-65-A Ð¥Ð¸ÑÐ»Ð°Ð²Ð¸ÑÐ¸ (Khislavichi, Russia)"
VAC9619-001388,"33.251,54,33.25,54.167","N-36-67-Ð (Klyuksovo, Russia)"
p16022coll230:1288,"144.4,-14.75,-64.35,71.6",National highways map of the United States showing one hundred thousand miles of national highways proposed by the National Highways Association
9de23c1e-0825-41d8-b7e2-5a12a6c54cab,"-1.25657737261,40.9297175172,-1.2565773726,40.92971751721",Navarra regnum
ac19ac90-110e-4c3a-a5e9-7f7015ea68e0,"-86.7399,41.79,-86.74,41.7901","New Buffalo and the marshes of Lake Pottowottomee at the mouth of the Galien River, Michigan shewing the facilities for constructing a harbor of refuge; from survey made in September 1857 by assistant John R. Mayer, under the direction of Brevet Lieut. Col. J.D. Graham Major, U.S.Top. Engineers. Superintending Engineer of Lake Harbor Works."
p16022coll229:724,"-179.9,-85.0,180.0,85.0","New universal atlas : containing separate maps of all the kingdoms, states, and countries throughout the world."
6aba9aa6-b75d-49ac-b4e4-6b01543fe2c9,"-0.08,51.5,-0.0601,51.5001","No. 1, plan of the old streets about London Bridge; No. 2, plan of a new street, propos'd to be built from the Royal Exchange to London Bridge."
549d8383-bdaa-4603-a2cc-1df517b268fa,"-180,58.48,-179,90",Nord-Polar-karte.
p16022coll230:473,"15,0,20,90",North America
380212b8-db97-4904-b977-f418b82c37cd,"2.3301,38.87,2.33,48.8701",Nouveau plan de Paris fortifiÃ©
366b196f-2701-4ed4-86ee-062264e9e3cb,"2.3301,38.87,2.33,48.8701",Nouveau plan de Paris fortifiÃ©.
p16022coll230:4108,"0,45,-59.75,47.25","Nova Scotia, Cape Breton sheet : Inverness, Victoria, Cape Breton and Richmond and portions of Antigonish and Guysborough Counties"
871f5cbf-e0da-4e57-8dde-d4e6c6cc42b6,"139.5667,-59.9667,-73.1167,3.25",Nuove scoperte fatte nel 1765.67. e 69 nel Mare del Sud.
ANT-REF-GT2507-010,"-113,-84.833,-116,-84.75",Ohio Range: Antarctica
ANT-REF-MT2503-068,"110,-85,125,-84",Ohio Range: Antarctica
p16022coll229:650,"-180,-90,180,90","Orbis terrarum, veteribus noti descriptio : a comparative atlas of ancient and modern geography, from original authorities and upon new plan, for the use of Eton school."
a47488d7-26be-4b1c-a4af-4383951e6991,"-179.9,-85.0,180.0,85.0","Orbis vetus in utrÃ¢que continente: juxta mentem Sansonianam distinctus, nec non observationibus astronomicis redactus, accurante; Robert de Vaugondy, geographo regis ordinario."
p16022coll230:750,"144.4,-14.75,-64.35,71.6",Outline map of the United States
p16022coll230:494,"138,52,137,80","P. Mc.D. Collins' proposed overland telegraph via Behring's Strait and Asiatic Russia to Europe, under Russian & British grants."
p16022coll230:3773,"176.0,-21.0,-170.0,-13.0","Pacific Ocean, Fiji Islands to Samoa Islands"
p16022coll246:451,"85.81666667,21.25,178.8666667,27.21666667","Part 2: Map of the Grand Trunk Road from Calcutta to the Sutledge, in three parts : exhibiting the staging bungalows, encamping grounds, dak and overseers' choukies, post office, thannahs and tuhseeldaries"
ark-85335-m59k47507,"-85.599068,45.690523,-85.598814,45.690643","Part of Beaver, Township 38 & 39N Range 10 & 11W: Charlevoix County, Michigan"
p16022coll230:214,"15.85,47.91666667,32.93333333,48.43333333",Perspectiv-Karte des Erzherzogthums Oesterreich unter der Ens.
p16022coll230:3997,"144.4,-14.75,-64.35,71.6","Phelps & Ensign's travellers' guide, and map of the United States : containing the roads, distances, steam boat and canal routes &c."
p16022coll230:4116,"165,10,-5,85",Physical and regional map of North America
p16022coll230:597,"-77.91,33.96,-77.9001,33.9601","Plan and sections of Fort Fisher carried by assault by the U.S. Forces Maj. Gen. A.H. Terry commanding Jan. 15th 1865, headqurtrs U.S. Forces Fort Fisher, Jan. 27th 1865"
p16022coll205:1110,"2.223888889,48.81555556,4.469722222,48.90194444","Plan de Paris, MeÌtropolitain et Nord-Sud"
p16022coll205:932,"2.25,48.81666667,4.416666667,48.9","Plan de Paris, MeÌtropolitain et Nord-Sud"
2ece81ca-a3dc-4e5a-b84c-82d9e7ddc98c,"3.3801,50.6,3.38,50.6001","Plan de Tournay: Ville episcopale situÃ©e sur l'Escaut; Ã  Paris, Chez le Sr. le Rouge ingr. gÃ©ographe du Roy ruÃ« des Augustins."
b61be2d6-0484-4321-8398-0b49ef53f2c1,"2.3301,48.87,2.33,48.8701","Plan detaillÃ© de la CitÃ©; dediÃ© Ã  Messire Louis Basile de Bernage, Conseiller d'Etat PrevÃ´t des Marchands, et Ã  Messieurs les Echevins de la Ville de Paris par M. l'AbbÃ© Delagrive, Geographe ordinaire de la Ville; Bourgoin le jeune scripsit."
ec3e347f-2d21-4bbe-9e54-99856a724111,"2.3501,48.85,2.35,48.8501",Plan detaillÃ© du quartier de Ste. Genevieve; levÃ© gÃ©omÃ©triquement par feu M. l'abbÃ© de La Grive; fini et publiÃ© par Al. Fr. Hugnin.
ece172d0-8ab3-4695-a902-79a925bb1fb0,"170.6,18.8,-66.9,71.6",Plan for settling new colonies.
6c680823-ef95-4706-bef8-ebb38ff2f8bf,"170.6,18.8,-66.9,71.5",Plan of an American Country Town
3c8050c9-397c-49bb-be4d-4472ddceb07e,"-83.0499,42.33,-83.05,42.3301","Plan of Detroit Woodward,Augustus Brevoort."
p16022coll230:2048,"-105.87391,46.3853,-105.8739,46.38531","Plan of Fort Keogh, Montana"
p16022coll230:2038,"-114.04751,46.845,-114.0475,46.8451","Plan of Fort Missoula, Montana"
cbe45e1f-d11d-4352-ac09-da2997f8244b,"-76.9999,38.83,-77,38.8301","Plan of the city intended for the permanent seat of the government of t[he] United States projected agreeable to the direction of the President of the United States, in pursuance of an act of Congress passed the sixteenth day of July, MDCCXC, ""establishing the permanent seat on the bank of the Potowmac""; by Peter Charles L'Enfant."
66f2da08-3982-4e30-8829-e8bcf74150e6,"-71.0501,42.36,-71.05,42.3601","Plan of the redoubt and intrenchment on the heights of Charles Town, commonly called Bunker's Hill, opposite Boston, in New England, attacked and carried by his Majesty's troops, June 17, 1775."
p16022coll205:566,"-80.1,41.95,-80,41.951",Plan of the town of Waterford
p16022coll205:1139,"13.69027778,51.02222222,26.79583333,51.08888889",Plan von Dresden
p16022coll205:757,"121.0,14.5833,121.0001,14.5834,",Plano de Manila y sus arrabales
p16022coll230:2772,"-75.01,-11.0,-75.0,-9.0",Plano del RiÌo Ucayali
3dc51a40-41dd-4631-9863-fd619fe3731b,"-84.3499,46.5,-84.35,46.5001","Plat of a survey of land ""for military purposes"" around Fort Brady Sault St. Marie, Mich.; made by G. C. Westcott under the direction of H. Brady, November 1846."
ANT-REF-GT2507-011,"180,-86,162,-85",Plunket Point: Antarctica
ANT-REF-MT2503-071,"180,-86,162,-85",Plunket Point: Antarctica
64b4e587-91e4-4b62-acc6-11e34b001674,"-83.6199,42.23,-83.62,42.2301",Post's Addition to Ypsilanti; Surveyed and platted by C. S. Woodard.
66e50797-702e-42c3-86a5-d506ce522fda,"-99.861202,33.309066,-99.851948,33.319434",Profile's [sic] of the different routes from Utica to Rochester of the Clinton and Kalamazoo Canal
p16022coll230:3518,"19.4,41.1833,-168.9667,82.05",Prussia : accurately drawn from the most approved modern maps and charts
d6422793-ff31-4ca4-a42b-720657e0e8c1,"1.59692756831,44.2245349886,1.5969275683,44.22453498861",Quercy
77a3baf1-ce66-4a5c-a8a4-c7c155463edc,"170.6,18.8,-66.9,71.5",Race and Occupation of immigrants by destination. Also the yearly increase and decrease of each stateâs proportion and the number.
UNL~30~30~282~14021,"-180,-90,180,90",Radii of Geocentric Latitude
p16022coll205:603,"-84.451,39.15,-84.45,39.151",Rand McNally & Co's indexed atlas of the world
p16022coll230:2460,"-0.75,45.5,-117,49","Rand, McNally & Co.'s indexed county and township pocket map and shippers' guide of Washington : accompanied by a new and original compilation and ready reference index, showing in detail the entire railroad system, the express company doing business over each road, and accurately locating all cities, towns, post offices, railroad stations, villages, counties, islands, lakes, rivers, etc"
p16022coll230:1264,"144.4,-14.75,-52.31666667,83.33333333","Rand, McNally & Co.'s new official railroad map of the United States and Canada"
p16022coll246:439,"72.99777778,33.5675,146.1022222,33.63583333",Rawalpindi guide map
ANT-REF-MK2508-007,"-150,-87,150,-77",Ross Ice Shelf: Antarctica
p16022coll246:449,"72.77583333,18.89277778,144.9863889,19.27138889",Route map of the Bombay Presidency
p16022coll230:327,"19.4,41.2,-169,82.1",Russia
p16022coll246:127,"45,49,-170,82",Russia Asiatica.
p16022coll230:348,"3.6,41.2,-169,82.1","Russia in Europe, Sweden, and Norway"
p16022coll230:3480,"19.9167,37.2333,-169.8833,78.45",Russie d'Asie 1:2 000 000
facb37fc-90ca-43d0-b39f-417ce88a9920,"139.066,35.4745,139.4585,35.6729",Sagami no Kuni zenzu (ç¸æ¨¡åè¼¿å°å
p16022coll230:3746,"-26.0,4.3944,-25.0,38.05","San Miguel, Azores, 1844"
p16022coll246:445,"78.46027778,17.40388889,156.5386111,17.45194444",Secunderabad and Bolarum
p16022coll230:3744,"39.4167,14.7,39.4168,14.7001",Senafe and its neighbourhood : showing the British camp
e38905ff-cc78-4c78-a9e7-3f2c8a90fb2c,"-87.7499,43.76,-87.75,43.7601","Sheboygan harbor, Wisconsin from survey made between the 19th & 24th of August 1856 by assistant John O'Donoghue under the directionof Brevet Lieut. Col. J.D. Graham, Major, U.S. Corps of Topographical Engineers. Superintending Engineer of Lake Michigan Works."
9e0111b9-b6d8-4c31-a846-6c81aae201bd,"-180,-90,180,90",Shinsen shukuzu Yamato zenkoku chizu
e54379c0-66da-4bb5-b166-161c4706659a,"-180,-90,180,90",Shintei Sado zu
p16022coll230:4169,"57.11666667,42.28333333,-168.9833333,81.25",Siberia
p16022coll229:608,"-180,-90,180,90","Six ethnographical maps illustrative of ""The Natural History of Man"" and ""Researches into the Physical History of Mankind"""
p16022coll230:4251,"73.86666667,29.53333333,152.9166667,32.48333333",Skeleton map of the Panjab and surrounding countries : to accompany the administration report for 1879-80
p16022coll230:4263,"78.05,23.16666667,158.3333333,24.45","Sketch map of the Saugor division and adjoining countries : compiled from available materials in the office of the Surveyor General of India, August 1855"
9ccf5f4b-1855-4359-80f3-bb09b2fe8908,"-84.3499,46.5,-84.35,46.5001","Sketch of the claims to land on the river St. Marys at Pauwayteeg, July 6th, 1823."
p16022coll205:1141,"75.95,26.73333333,156.8333333,29.21666667",Sketch of the country between Umballah & Agra : taken from Joesph's map of the Trunk Road
c7a35f2a-2d47-4f6d-9ace-f584cf1b845d,"-84.7299,45.78,-84.73,45.7801",Sketch of the fort at Michilimackinac; Perks. Magra.; Title in margin: Magra map.
p16022coll230:3455,"19.4,41.1833,-168.9667,82.05",Soil map of the Asiatic part of USSR
ark-85335-m5086370b,"-85.791753,41.759483,-85.790597,41.761236","South Porter, Township 8S Range 13W: Cass County, Michigan"
p16022coll230:3786,"80.0,-50.0,-80.0,-30.0",Sovereignty and mandate boundary lines in 1921 of the islands of the Pacific
9b9603a7-e0b0-454a-b73d-4861201d72d4,"-86.4799,42.1,-86.48,42.1001","St. Joseph harbor, Michigan from survey made between the 14th & 27th August 1856 by assistant John R. Mayer, under the direction of Brevet Lieut. Col. J.D. Graham, Major, U.S. Top. Engineers. Superintending Engineer of Lake Michigan Works."
p16022coll230:1952,"-84.29221,42.0078,-84.2922,42.00781",State Park Devils Lake Wisconsin : course in plane table surveying
p16022coll230:1313,"144.4,-14.75,-64.35,71.6",Statistical map of the United States of America
p16022coll230:383,"17.94333333,59.29527778,36.21444444,59.36388889","Stockholms hamn : Stockholm harbour, skala 1:15000"
p16022coll230:425,"12,39.83,11,40.33","Strawberry Valley Project, Utah"
91783760-82d4-0134-1f08-0050569601ca-9,"-180,-90,180,90",Survey of the Mississippi River [map] / made under the direction of the Mississippi River Commission
908c1cd0-82d4-0134-1f08-0050569601ca-2,"-180,-90,180,90",Survey of the Mississippi River [map] / made under the direction of the Mississippi River Commission.
200a22e5-70ab-4eea-99cd-21dd146b1db3,"-86.7399,41.79,-86.74,41.7901",Survey of the Mouth of Galien River Michigan; surveyed bt Lieuts. J. M. Berrien and E. Rose. Drawn by Lieut. Berrien.
994ae10b-83bc-48c5-acc0-354a4af4f604,"-122.4299,47.24,-122.43,47.2401",Tacoma 1889
p16022coll229:526,"-180,-90,180,90","The advanced atlas of physical and political geography : a new series of maps specially designed for schools, colleges and private students"
p16022coll230:1309,"144.4,-14.75,-64.35,71.6","The American Union Telegraph Company : lessee of the Dominion Telegraph Company of Canada, connecting with the French Atlantic cable : [map of the United States and eastern Canada showing completed and projected lines]"
65fcdf30-e588-440a-a31c-bb639fae3ca6,"-179.93,62.48,179.83,85.2",The arctic region with the tracks of search parties and the progress of discovery
p16022coll229:578,"-3.1883751,55.953346,-3.188375,55.9533461","The Edinburgh imperial atlas : ancient and modern, rev. and corr. to the present day, from the best authorities."
e4f966d4-5886-4adb-a6a6-5b49d1eab648,"-83.73,42.28,-83.72,42.281","The general planting scheme of Nichols Arboretum / Depât of Landscape Design, University of Michigan."
p16022coll230:3173,"-179.75,47.5,8.5,51.75","The Literary Digest liberty map of the Western Front of the Great World War : showing the battle line of liberty as it stood May 1st, 1918, also showing the lines of farthest advance of the German and the French offensives with complete index"
p16022coll230:654,"144.4,-14.75,-64.35,71.6",The new world 1500
dcca0fd9-ddda-4348-8d41-e7194e2b665f,"44.96,59.68,-169,81.27",The north coast of Russia from the latest discoveries.
p16022coll230:447,"92.5,42,87,47.5",The Rand McNally new commercial atlas map of Wisconsin.
9fa1a600-994e-0134-2096-0050569601ca-7,"-180,-90,180,90",The topographic maps of the United States [standard symbols].
p16022coll230:1316,"144.4,-14.75,-64.35,71.6","The travellers guide, or, Map of the roads, canals & rail roads of the United States, with the distances from place to place"
aa1aee30-5e71-46ec-9811-84c713f8adc4,"-83.75,42.28,-83.749,42.281",The University of Michigan Golf Course
a6c3d650-994e-0134-2096-0050569601ca-b,"-180,-90,180,90",The upper territories of the United States.
p16022coll230:544,"90.1,-70,90,85","The world : prepared expressly for the National Geographic Magazine, showing the political divisions, including those established after the World War."
VAC3073-M-00860,"-86.21011,39.1301,-86.2101,39.13011",This is your map of the trails in Brown County State Park (near Nashville)
UNL~30~30~182~14498,"-180,-90,180,90",Three Kinds of Latitude
p16022coll230:3603,"27.2,-10.1167,-171.0667,72.2833","To the right honourable William, Lord Cowper, Lord High Chancellor of Great Britain, this map of Asia : according to ye newest and most exact observations is most humbly dedicated"
35f7178e-547b-4bd9-980a-26b40eac9fab,"-85.411,38.75,-85.41,38.751","Topographic map of Clifty Falls State Park, Jefferson Co., Indiana."
edaeca6d-bb8b-4719-b564-190612acaa2b,"-86.51011,39.1501,-86.51,39.15011",Topographic map of Indiana University
c3e7bf4a-400c-4ad3-9c60-182cf3205a5a,"4.84636981041,44.8907990294,4.8463698104,44.89079902941",Totius Lemovici et consinium provinciaru quantum ad dioecesin Lemoviccensen spectant
956fed47-655f-4114-8517-bfb8befb6892,"0.2368131,47.091193,0.236813,47.0911931",Touraine
p16022coll230:1037,"-179.9,-85.0,180.0,85.0",Typvs orbis terrarvm
p16022coll230:3524,"94.8333,45.4167,13.75,47.75",Tyrol
0048cc1b-1485-447b-a19b-b40429828747,"4.041119,49.324898,4.098831,49.383787","Utriusque BurgundiÃ¦ tum ducatus tum comitatus, descriptio"
263590b0-b0b3-4116-83b2-ee3fc8d0ad26,"-68.00039894881,10.1700261977,-68.0003989488,10.17002619771",Valentia regnum
UNL~30~30~230~13997,"-180,-90,180,90",Verticals on an Oblate Earth
4fe34f0c-402d-4959-8312-ea35b12d668f,"172.3478,5.4986,-25.0122,83.1355","Virginie, Grande Region de lâAmerique Septentrionale, 1729"
ark-85335-m5tx36j4d,"-85.8883,41.695,-85.8847,41.7585","Washington, Township 38N Range 6E: Elkart County, Indiana"
p16022coll230:4049,"-179.9,-85.0,180.0,85.0",Welt-Eisenerz Karte : (The iron resources of the World)
p16022coll230:549,"160,-90,-40,90",Western Hemisphere
p16022coll230:4069,"160,-90,-20,80",Western Hemisphere : map of discovery
pstems_0052767067_windber_07_uk,"-80.5211,39.7198,-74.6897,42.5147",Windber-07-UK; Windber-7; Upper Kittanning
ANT-REF-MT2503-096,"120,-86,135,-85",Wisconsin Range: Antarctica
GRL-REF-MT0504-014,"0,0,-26,73",Ymers O: Greenland
p16022coll205:758,"133.45,34.8444,133.4833,36.8722",Yoshioka - special sheet
